Sr.No,Round,Institute,PG Program,Group,Category,Max GATE Score,Min GATE Score
1,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Textile Engineering and Management,G1,OPEN,429,353
2,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",VLSI Design,G1,OPEN,598,522
3,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electric Vehicle Design,G1,EWS,402,350
4,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering,G1,ST,323,321
5,Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,G1,SC,499,473
6,Round 1,Malaviya National Institute of Technology Jaipur,Embedded Systems,G2,OBC-NCL,523,506
7,Round 1,Malaviya National Institute of Technology Jaipur,Industrial Engineering,G2,OBC-NCL,373,373
8,Round 1,Malaviya National Institute of Technology Jaipur,Power Systems,G1,OBC-NCL,382,370
9,Round 1,Malaviya National Institute of Technology Jaipur,Structural Engineering,G1,OBC-NCL,442,408
10,Round 1,Maulana Azad National Institute of Technology Bhopal,M Plan (Real Estate Planning),G1,ST,169,169
11,Round 1,Maulana Azad National Institute of Technology Bhopal,M Tech (Infrastructure Engineering and Construction Management),G1,ST,268,268
12,Round 1,Maulana Azad National Institute of Technology Bhopal,Automation and Robotics,G1,SC,385,373
13,Round 1,Maulana Azad National Institute of Technology Bhopal,Biotechnology,G1,ST,187,187
14,Round 1,Maulana Azad National Institute of Technology Bhopal,Communication Systems,G1,OBC-NCL,416,401
15,Round 1,Maulana Azad National Institute of Technology Bhopal,Industrial Engineering & Management,G1,SC,306,280
16,Round 1,Maulana Azad National Institute of Technology Bhopal,Machine Design,G1,EWS,342,342
17,Round 1,Maulana Azad National Institute of Technology Bhopal,Nanotechnology,G1,OPEN,474,446
18,Round 1,Maulana Azad National Institute of Technology Bhopal,Structural Engineering,G1,OPEN,712,419
19,Round 1,Maulana Azad National Institute of Technology Bhopal,Urban Planning,G1,OPEN,609,513
20,Round 1,Maulana Azad National Institute of Technology Bhopal,VLSI Design & Embedded Systems,G1,OPEN,553,514
21,Round 1,Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,G1,SC,301,222
22,Round 1,Motilal Nehru National Institute of Technology Allahabad,Communication Systems,G1,EWS,471,444
23,Round 1,Motilal Nehru National Institute of Technology Allahabad,Environmental Engineering,G1,OPEN,480,393
24,Round 1,Motilal Nehru National Institute of Technology Allahabad,Information Security,G1,OPEN-PwD,431,431
25,Round 1,Motilal Nehru National Institute of Technology Allahabad,Information Security,G1,SC,493,481
26,Round 1,Motilal Nehru National Institute of Technology Allahabad,Microelectronics & VLSI Design,G1,SC,452,436
27,Round 1,Motilal Nehru National Institute of Technology Allahabad,Signal Processing,G1,OBC-NCL,488,476
28,Round 1,Motilal Nehru National Institute of Technology Allahabad,Power System,G1,OBC-NCL,401,382
29,Round 1,National Institute of Technology Agartala,Biotechnology & Biochemical Engineering,G1,OPEN,500,480
30,Round 1,National Institute of Technology Agartala,Manufacturing Technology,G1,OBC-NCL,322,322
31,Round 1,National Institute of Technology Agartala,Power System Engineering,G1,OBC-NCL,330,326
32,Round 1,National Institute of Technology Agartala,Structural Engineering,G1,OBC-NCL,337,317
33,Round 1,National Institute of Technology Agartala,VLSI Design,G1,OBC-NCL,428,420
34,Round 1,National Institute of Technology Agartala,Computer Integrated Manufacturing,G1,OBC-NCL,325,325
35,Round 1,National Institute of Technology Calicut,M.Plan. (Urban Planning),G1,EWS,587,587
36,Round 1,National Institute of Technology Calicut,Chemical Engineering,G1,EWS,337,337
37,Round 1,National Institute of Technology Calicut,Machine Design,G1,OPEN,711,553
38,Round 1,National Institute of Technology Calicut,Microelectronics & VLSI Design,G1,EWS,635,631
39,Round 1,National Institute of Technology Calicut,Signal Processing,G1,ST,323,323
40,Round 1,National Institute of Technology Calicut,Structural Engineering,G1,ST,366,347
41,Round 1,National Institute of Technology Calicut,Water Resource Engineering,G1,ST,287,287
42,Round 1,National Institute of Technology Delhi,CAD/CAM,G1,SC,307,307
43,Round 1,National Institute of Technology Delhi,Power Electronics & Drives,G1,OPEN,500,425
44,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Mathematics and Computing,G1,OBC-NCL,510,493
45,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Data Analytics,G1,OBC-NCL,533,519
46,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Energy and Environmental Engineering,G1,ST,263,263
47,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering (Information Security),G1,EWS,574,574
48,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Computer Science & Engineering (Information Security),G1,SC,452,452
49,Round 1,Malaviya National Institute of Technology Jaipur,Chemical Engineering and Sustainable Technology,G1,ST,310,310
50,Round 1,Malaviya National Institute of Technology Jaipur,Petrochemicals and Polymers Technology,G1,EWS,330,330
51,Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,SC,324,273
52,Round 1,Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,G1,OBC-NCL,448,440
53,Round 1,Malaviya National Institute of Technology Jaipur,Urban Planning,G2,SC,316,316
54,Round 1,Malaviya National Institute of Technology Jaipur,VLSI Design,G1,ST,354,354
55,Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,G1,OBC-NCL,671,651
56,Round 1,Maulana Azad National Institute of Technology Bhopal,Advanced Computing,G1,OBC-NCL,556,516
57,Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G1,EWS,606,606
58,Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G1,SC,473,453
59,Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G2,ST,291,291
60,Round 1,Maulana Azad National Institute of Technology Bhopal,Geoinformatics & Its Applications,G1,OPEN,480,423
61,Round 1,Maulana Azad National Institute of Technology Bhopal,Geoinformatics & Its Applications,G1,SC,322,322
62,Round 1,Maulana Azad National Institute of Technology Bhopal,Industrial Engineering & Management,G1,EWS,466,466
63,Round 1,Maulana Azad National Institute of Technology Bhopal,Integrated Power Systems,G1,OPEN,378,366
64,Round 1,Maulana Azad National Institute of Technology Bhopal,Integrated Power Systems,G1,ST,259,259
65,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G2,OBC-NCL,376,356
66,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G2,OPEN,493,454
67,Round 1,Motilal Nehru National Institute of Technology Allahabad,Design Engineering,G1,OBC-NCL,463,432
68,Round 1,Motilal Nehru National Institute of Technology Allahabad,Thermal Engineering,G1,OPEN,466,394
69,Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,G1,OBC-NCL,708,665
70,Round 1,National Institute of Technology Agartala,Geotechnical Engineering,G1,SC,253,249
71,Round 1,National Institute of Technology Agartala,Hydro Informatics Engineering,G1,SC,220,220
72,Round 1,National Institute of Technology Agartala,Integrated Energy System,G1,OBC-NCL,338,338
73,Round 1,National Institute of Technology Agartala,Data Science & Engineering,G1,OBC-NCL,514,496
74,Round 1,National Institute of Technology Calicut,Electronics Design & Technology,G1,OPEN,627,600
75,Round 1,National Institute of Technology Calicut,Geotechnical Engineering,G1,ST,310,310
76,Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G1,EWS,393,393
77,Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G2,ST,226,226
78,Round 1,National Institute of Technology Calicut,Industrial Engineering & Management,G1,EWS,487,366
79,Round 1,National Institute of Technology Calicut,Microelectronics & VLSI Design,G1,OBC-NCL,635,612
80,Round 1,National Institute of Technology Calicut,Materials Science & Technology,G1,OBC-NCL,349,318
81,Round 1,National Institute of Technology Calicut,Telecommunication,G1,OPEN,530,506
82,Round 1,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),G1,OBC-NCL,693,671
83,Round 1,National Institute of Technology Delhi,Computer Science & Engineering,G1,EWS,665,665
84,Round 1,National Institute of Technology Delhi,Computer Science & Engineering,G1,SC,531,502
85,Round 1,National Institute of Technology Durgapur,Sustainable Materials & Technology,G1,SC,291,288
86,Round 1,National Institute of Technology Durgapur,Microelectronics & VLSI,G1,EWS,579,549
87,Round 1,National Institute of Technology Durgapur,Operations Research,G1,OBC-NCL,468,436
88,Round 1,National Institute of Technology Durgapur,Power System,G1,ST,267,267
89,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Machine Intelligence and Automation,G1,ST,318,318
90,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Geotechnical Engineering and Infrastructure Design,G1,OPEN,378,378
91,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Design Engineering,G1,OPEN,428,353
92,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Renewable Energy,G1,ST,260,260
93,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Signal Processing and Machine Learning,G1,OPEN,543,424
94,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Structural and Construction Engineering,G1,OPEN,416,351
95,Round 1,Malaviya National Institute of Technology Jaipur,Chemical Engineering and Sustainable Technology,G1,OPEN,435,366
96,Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,OBC-NCL,424,400
97,Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,EWS,432,429
98,Round 1,Malaviya National Institute of Technology Jaipur,Power Electronics & Drives,G1,SC,354,318
99,Round 1,Malaviya National Institute of Technology Jaipur,Power Systems Management,G1,SC,303,299
100,Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,G1,SC,542,506
101,Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G1,OPEN,862,635
102,Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G2,EWS,588,588
103,Round 1,Maulana Azad National Institute of Technology Bhopal,Machine Design,G1,SC,232,232
104,Round 1,Maulana Azad National Institute of Technology Bhopal,Power Electronics & Drives,G1,EWS,393,393
105,Round 1,Maulana Azad National Institute of Technology Bhopal,Renewable Energy,G1,SC,299,299
106,Round 1,Maulana Azad National Institute of Technology Bhopal,Structural Engineering,G1,ST,370,249
107,Round 1,Maulana Azad National Institute of Technology Bhopal,Urban Planning,G1,ST,356,356
108,Round 1,Maulana Azad National Institute of Technology Bhopal,M.Tech Agile Software Engineering,G1,OBC-NCL,527,516
109,Round 1,Maulana Azad National Institute of Technology Bhopal,M.Tech Agile Software Engineering,G1,EWS,552,529
110,Round 1,Maulana Azad National Institute of Technology Bhopal,Computer Networking,G1,SC,404,389
111,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G1,EWS,350,350
112,Round 1,Motilal Nehru National Institute of Technology Allahabad,Control & Instrumentation,G1,OPEN,487,410
113,Round 1,Motilal Nehru National Institute of Technology Allahabad,Production Engineering,G1,OPEN,404,375
114,Round 1,Motilal Nehru National Institute of Technology Allahabad,Transportation Engineering,G1,OPEN,472,408
115,Round 1,Motilal Nehru National Institute of Technology Allahabad,Thermal Engineering,G2,OPEN,394,366
116,Round 1,Motilal Nehru National Institute of Technology Allahabad,Power System,G1,EWS,382,374
117,Round 1,National Institute of Technology Agartala,Artificial Intelligence,G1,OBC-NCL,496,480
118,Round 1,National Institute of Technology Agartala,Artificial Intelligence,G1,EWS,512,512
119,Round 1,National Institute of Technology Agartala,Automotive Engineering,G1,OPEN,359,359
120,Round 1,National Institute of Technology Agartala,Biotechnology & Biochemical Engineering,G1,EWS,370,350
121,Round 1,National Institute of Technology Agartala,Environmental Engineering,G1,SC,269,247
122,Round 1,National Institute of Technology Agartala,Integrated Energy System,G1,SC,255,243
123,Round 1,National Institute of Technology Agartala,Data Science & Engineering,G1,EWS,509,502
124,Round 1,National Institute of Technology Agartala,Structural Engineering,G1,SC,256,253
125,Round 1,National Institute of Technology Agartala,VLSI Design,G1,SC,389,332
126,Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G1,OPEN,504,456
127,Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G1,SC,350,334
128,Round 1,National Institute of Technology Calicut,Industrial Engineering & Management,G1,SC,302,266
129,Round 1,National Institute of Technology Calicut,Machine Design,G1,ST,283,283
130,Round 1,National Institute of Technology Calicut,Manufacturing Technology,G1,EWS,369,355
131,Round 1,National Institute of Technology Calicut,Manufacturing Technology,G1,OPEN,467,414
132,Round 1,National Institute of Technology Calicut,Nanotechnology,G1,EWS,345,309
133,Round 1,National Institute of Technology Calicut,Nanotechnology,G1,OPEN,581,389
134,Round 1,National Institute of Technology Calicut,Power Systems,G1,EWS,409,401
135,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Industrial Engineering and Data Analytics,G1,OPEN,539,519
136,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Electric Vehicle Design,G1,SC,315,291
137,Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,G1,OBC-NCL,648,635
138,Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Information Security,G1,EWS,643,639
139,Round 1,Malaviya National Institute of Technology Jaipur,Industrial Engineering,G1,OPEN,437,430
140,Round 1,Malaviya National Institute of Technology Jaipur,Renewable Energy,G1,OBC-NCL,370,351
141,Round 1,Malaviya National Institute of Technology Jaipur,Structural Engineering,G1,SC,337,303
142,Round 1,Malaviya National Institute of Technology Jaipur,Transportation Engineering,G1,OBC-NCL,378,370
143,Round 1,Malaviya National Institute of Technology Jaipur,Water Resources Engineering,G1,OBC-NCL,348,322
144,Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,G1,EWS,665,660
145,Round 1,Maulana Azad National Institute of Technology Bhopal,M Plan (Real Estate Planning),G1,OBC-NCL,463,412
146,Round 1,Maulana Azad National Institute of Technology Bhopal,Advanced Computing,G1,OPEN,647,575
147,Round 1,Maulana Azad National Institute of Technology Bhopal,Automation and Robotics,G1,OBC-NCL,523,477
148,Round 1,Maulana Azad National Institute of Technology Bhopal,Bioinformatics,G1,OPEN,506,493
149,Round 1,Maulana Azad National Institute of Technology Bhopal,Chemical Engineering,G1,OBC-NCL,330,330
150,Round 1,Maulana Azad National Institute of Technology Bhopal,Communication Systems,G1,SC,305,300
151,Round 1,Maulana Azad National Institute of Technology Bhopal,Information Security,G1,OPEN,610,592
152,Round 1,Maulana Azad National Institute of Technology Bhopal,Materials Science & Technology,G1,OBC-NCL,324,309
153,Round 1,Maulana Azad National Institute of Technology Bhopal,Thermal Engineering,G1,OPEN,553,452
154,Round 1,Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,G1,OBC-NCL,356,303
155,Round 1,Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,G1,EWS,330,324
156,Round 1,Motilal Nehru National Institute of Technology Allahabad,Communication Systems,G1,SC,358,354
157,Round 1,Motilal Nehru National Institute of Technology Allahabad,Design Engineering,G1,OPEN,566,501
158,Round 1,Motilal Nehru National Institute of Technology Allahabad,Microelectronics & VLSI Design,G1,EWS,627,627
159,Round 1,Motilal Nehru National Institute of Technology Allahabad,Power System,G1,SC,338,311
160,Round 1,National Institute of Technology Agartala,Integrated Energy System,G1,ST,295,295
161,Round 1,National Institute of Technology Agartala,Power Electronics & Drives,G1,OPEN,366,350
